"EmployerName","EmployerId","Address","PostCode","CompanyNumber","SicCodes","DiffMeanHourlyPercent","DiffMedianHourlyPercent","DiffMeanBonusPercent","DiffMedianBonusPercent","MaleBonusPercent","FemaleBonusPercent","MaleLowerQuartile","FemaleLowerQuartile","MaleLowerMiddleQuartile","FemaleLowerMiddleQuartile","MaleUpperMiddleQuartile","FemaleUpperMiddleQuartile","MaleTopQuartile","FemaleTopQuartile","CompanyLinkToGPGInfo","ResponsiblePerson","EmployerSize","CurrentName","SubmittedAfterTheDeadline","DueDate","DateSubmitted"
"1ST HOME CARE LTD.","17484","Suite 1, Ground Floor Academy House, 1346 Shettleston Road, Glasgow, Scotland, G32 9AT","G32 9AT","SC272838","86900,
88100","-4.38","-0.06","","","0","0","16.67","83.33","10.53","89.47","5.56","94.44","10.53","89.47","","David Sargent (Dr)","Less than 250","1ST HOME CARE LTD.","False","2026/04/05 00:00:00","2025/05/10 15:39:47"
"A J RAYSON LIMITED","23378","Bartle House, Oxford Court, Manchester, England, M2 3WQ","M2 3WQ","14187704","70229","2.23","3.15","","","0","0","35.29","64.71","18.18","81.82","52.94","47.06","33.33","66.67","","Paige Hughes (Payroll Admin)","Less than 250","A J RAYSON LIMITED","False","2026/04/05 00:00:00","2025/04/29 15:54:12"
"ABACUS EMPLOYMENT SERVICES LIMITED","767","1 Chequers Road, Basingstoke, Hampshire, England, RG21 7PU","RG21 7PU","02638307","78200","-3.57","-0.58","-24.44","28.49","5.8","5","73.39","26.61","88.18","11.82","77.06","22.94","77.27","22.73","https://www.abacus-employment.com/","Chris Addis (Managing Director)","250 to 499","ABACUS EMPLOYMENT SERVICES LIMITED","False","2026/04/05 00:00:00","2025/04/09 10:43:02"
"ALTUS EDUCATION PARTNERSHIP","18855","Suite F4, No.2 The Esplanade, Rochdale, United Kingdom, OL16 1AE","OL16 1AE","10578239","85200,
85310,
85410","17.02","30.2","","","0","0","17.9","82.1","24.6","75.4","39.3","60.7","39.8","60.2","","","250 to 499","ALTUS EDUCATION PARTNERSHIP","False","2026/03/31 00:00:00","2025/04/19 10:32:03"
"Arbor Academy Trust","20096","74 Davies Lane, Leytonstone, E11 3DR","E11 3DR","","","5.30","8.06","","","0","0","6.33","93.67","6.33","93.67","7.59","92.41","18.99","81.01","","","250 to 499","Arbor Academy Trust","False","2026/03/31 00:00:00","2025/04/14 11:25:50"
"Arun District Council","1459","Arun Civic Centre, Maltravers Road, Littlehampton, West Sussex, United Kingdom, BN17 5LF","BN17 5LF","","1,
84110","14.25","6.21","","","0","0","31","69","34","66","32","68","55","45","","","250 to 499","Arun District Council","False","2026/03/31 00:00:00","2025/05/08 08:17:56"
"BAKER & BAKER PRODUCTS UK LIMITED","3789","Stadium Road, Bromborough, Wirral, CH62 3NU","CH62 3NU","01478292","10710,
10890","8","8.83","16.77","44.66","86.59","78.82","42.77","57.23","65.85","34.15","76","24","64.62","35.38","","Kirsty Gough (Payroll Manager)","1000 to 4999","BAKER & BAKER PRODUCTS UK LIMITED","False","2026/04/05 00:00:00","2025/05/16 10:06:07"
"BEATSON CLARK LIMITED","1924","The Glassworks, Greasborough Road, Rotherham, South Yorkshire, S60 1TZ","S60 1TZ","00110186","23130","7.12","8.54","-69.46","-100","86.95","13.05","76.29","23.71","83.51","16.49","95.88","4.12","87.63","12.37","","Mark Malpass (Finance Director)","250 to 499","BEATSON CLARK LIMITED","False","2026/04/05 00:00:00","2025/05/09 12:42:26"
"BEN BURGESS & CO LIMITED","23640","24 King William Street, London, England, EC4R 9AT","EC4R 9AT","04172275","46610,
47990","18","17","75","48","86","87","73","27","82","18","95","5","95","5","https://acrobat.adobe.com/id/urn:aaid:sc:EU:d116bc00-57fb-4e17-af78-53a222b64848","Matthew Hagon (Payroll and HR Advisor)","250 to 499","BEN BURGESS & CO LIMITED","False","2026/04/05 00:00:00","2025/04/11 12:45:54"
"BERNARD MATTHEWS FOODS LIMITED","16095","2nd Floor Colmore Court, 9 Colmore Row, Birmingham, United Kingdom, B3 2BJ","B3 2BJ","10036286","10120,
10130","10","2","","","0","0","57","43","61","39","72","28","86","14","","Stephen Maxwell (Head of HR)","500 to 999","BERNARD MATTHEWS FOODS LIMITED","False","2026/04/05 00:00:00","2025/05/07 10:08:45"
"BIRTENSHAW","16714","Birtenshaw Darwen Road, Bromley Cross, Bolton, England, BL7 9AB","BL7 9AB","02978546","85590,
87900","1","0","84","99","1","3","32","68","37","63","35","65","25","75","https://birtenshaw.org.uk/about-us/gender-pay/","Kerry Sayers (Assistant Chief Executive: Resources)","500 to 999","BIRTENSHAW","False","2026/04/05 00:00:00","2025/04/23 14:26:29"
